名称,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"PresentationFramework.ni.dll","8,630","8,447",94.90,92.89,
"d3d9.dll",246,246,2.71,2.71,
"igdumdim64.dll",395,136,4.34,1.50,
"mscorlib.ni.dll",103,103,1.13,1.13,
"clr.dll",53,53,0.58,0.58,
"System.Windows.Forms.ni.dll",24,24,0.26,0.26,
"KernelBase.dll",23,23,0.25,0.25,
"ws2_32.dll",14,14,0.15,0.15,
"kernel32.dll",9,9,0.10,0.10,
"ntdll.dll",9,9,0.10,0.10,
"igdusc64.dll",8,6,0.09,0.07,
"mfc90u.dll",6,6,0.07,0.07,
"GROOVEEX.DLL",21,4,0.23,0.04,
"ShellIco.dll",12,4,0.13,0.04,
"user32.dll",4,4,0.04,0.04,
"360GarbageCleanerShellExt64.dll",11,2,0.12,0.02,
"360udiskguard64.dll",4,1,0.04,0.01,
"FtpShellExt.dll",19,1,0.21,0.01,
"msvcr90.dll",5,1,0.05,0.01,
"WindowsBase.ni.dll",1,1,0.01,0.01,
"AESalgorithm.dll",1,0,0.01,0.00,
"DESalgorithm.dll",33,0,0.36,0.00,
"MD5algorithm.dll",1,0,0.01,0.00,
"obexpf.dll",4,0,0.04,0.00,
"RSAalgorithm.dll",28,0,0.31,0.00,
"加密解密工具.exe","8,630",0,94.90,0.00,
